"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0.4,-5.84455468451422,0.0482738357774749,-2.55285746619463,-10.4548523044802,-3.73841906987722,-2.433363760577,-1.94457536957054,0.00289562389178413,1.04945799512674,0.0778588687495387,9.64692830301169e-11,0.125021839774774,0.023267807358888,0.147891740794737,31.5618031102528,0,23.197185652661,0,23.1972007089496,0,23.5411745176466,0.00158489319246111
2,1,0.4,-6.64876332606929,-1.2260465452371,-1.71507549069952,-8.72271697252457,-3.20909966271056,-4.03780478457487,-2.20173467888478,0.00302704626382048,0.127946615363419,1.28072430467303e-07,5.55830226660187e-10,0.124993609035783,0.0121463344576229,0.136940454669221,23.1971802388916,0,23.197201149074,0,23.1971853294394,0,23.5411745176466,0.00158489319246111
3,1,0.4,-6.00488952535953,-3.01730185704277,-2.78424744266923,-7.8921129710076,-1.86234947725305,-5.396859699768,-2.82319475316975,0.000116439605152535,0.125056405568022,8.75972598379726e-06,3.78642984134054e-11,0.12490045584003,0.00267560566242424,0.12760689338618,23.1971799514465,0,23.1971819991087,0,23.1971801977894,0,23.5411745176466,0.00158489319246111
4,1,0.4,-6.36298737119892,-1.3915499389826,-2.30446200181846,-8.95748168185428,-2.67762326438494,-3.36252513373202,-2.43761402577295,0.00428383906715044,0.129176726327593,6.31083695489765e-07,7.84457068080421e-11,0.125110573239704,0.014382399378622,0.139160839849927,23.1971807512242,0,23.197193120759,0,23.197187325513,0,23.5411745176466,0.00158489319246111
5,1,0.4,-5.04626257183362,-1.37800631675862,-3.05888584872348,-8.12966595097926,-0.565204581057507,-4.70559509261404,-0.859186234968689,0.000164742028205051,0.125115594748767,3.01450206223066e-05,0.0002946666174619,1.28115499900874,0.0199200686172242,0.144608061584051,23.1971802618632,0,31.5618031102528,0,23.1971946260832,0,23.5411745176466,0.00158489319246111
1,2,0.4,-7.00407983502352,-2.13959374237687,-2.83056518974253,-11.0834087894487,-3.73282961058976,-3.31734933268403,-2.15262810880932,0.013001805345666,0.148370542688742,0.275529704607931,2.47322297321887e-05,0.0922583079085937,0.0025037493550952,0.066337365906525,32.4345023069134,0,32.527547026394,0,33.4508769377538,0,32.6795721656794,0.00158489319246111
2,2,0.4,-8.46611401264637,-2.94368890638937,-1.86859473413469,-9.29738821119655,-4.62624197837356,-4.06432556895004,-1.72886844246812,0.0130644829679592,0.148515937641139,0.275076107132922,2.48478359226914e-05,0.0923159516018108,0.00768988902575428,0.0714259642015444,32.4345021768213,0,32.5275895184869,0,33.450943757795,0,32.6795721656794,0.00158489319246111
3,2,0.4,-7.02174495911133,-2.08415455895847,0.25900266244722,-9.48628046986974,-3.46609751518197,-4.27185882048595,-1.67684775347708,0.000206539559457929,0.819043955704578,3.98405441768398,2.47107712041504e-05,0.0922070461184103,0.00284117750824851,0.0666409440857325,45.3953435995156,10,32.5275499961767,0,33.4508791050267,0,32.6795721656794,0.00158489319246111
4,2,0.4,-6.71763251899744,-1.22895269505116,-2.06972251877278,-7.00776488338501,-1.93544212192087,-5.40940383072387,-1.92448609594141,0.0134733228072028,0.149451753443536,0.272226301782865,2.47287826034108e-05,0.0922488834636949,0.0106530802327831,0.0744130783760884,32.4345069604239,0,32.5275472544179,0,33.4510124911106,0,32.6795721656794,0.00158489319246111
5,2,0.4,-6.75717002205374,-3.23228095727729,-3.1227860924896,-10.2867507692643,-0.11118265258,-5.01270514740922,-2.57199663659493,1.13659360148548e-05,0.088276912640883,1.09051699326123,3.40816729171196e-05,0.894775300985146,0.00422418339068157,0.0680239390210238,32.5483979736906,0,52.4674007195266,0,33.4508906438998,0,32.6795721656794,0.00158489319246111
1,3,0.4,-7.32277804272188,-0.547762946924874,-3.46515790130287,-8.66077678533251,-2.3024306596461,-3.73511725270759,-1.95799404897713,4.72408344426061e-05,0.332288762548857,1.17168915896268,0.000186302504939016,0.351677184103864,0.0104369445415629,0.0645782131741075,32.5011383767142,0,32.4452182318117,0,38.9255203884599,0,38.4839211503689,0.00158489319246111
2,3,0.4,-4.76139890232365,-1.67851597157864,-2.02193192420352,-10.3215117835091,-1.81398078064068,-4.95795188395909,-2.6388215177161,0.000591842124258962,0.365701779124835,0.853464426507913,5.65559711059255e-05,0.135650178998115,0.00637529960997748,0.0605817010094215,32.4252143526827,0,34.1313733232877,0,38.9254710252051,0,38.4839211503689,0.00158489319246111
3,3,0.4,-5.85090204300132,-2.48944475058939,-1.73034600466304,-9.94596369724836,-2.80732006147087,-5.79075732982235,-2.22822851935898,0.000593252284098152,0.365819145978506,0.853196345019251,5.65873700459136e-05,0.135684913600438,0.0043589765872775,0.0586028590666902,32.4252141934952,0,34.1313720563839,0,38.9254557580117,0,38.4839211503689,0.00158489319246111
4,3,0.4,-6.99647526583577,-2.97482369154618,-2.79498312532351,-10.4692903637136,-2.1162490181548,-2.89895704509951,-3.44498621012767,0.000595466476571292,0.365845611661995,0.852713661730913,0.000186430068182109,0.351865261838587,0.0189980100374326,0.0730000343979189,32.425214297047,0,32.4452171242774,0,38.9257010092335,0,38.4839211503689,0.00158489319246111
5,3,0.4,-7.73915114650556,-3.10997844404486,-2.92601902395733,-9.70447618069723,-2.69614565144665,-4.31244416102471,-2.75732147054938,0.000105293028107885,0.34266088392424,1.07105402570595,0.000186515321633795,0.351984091679542,0.005521395815904,0.0597319236047322,32.4662321144795,0,32.4452176664674,0,38.9254649398222,0,38.4839211503689,0.00158489319246111
1,4,0.4,-6.87373133631731,-0.1315873979083,-2.1289618768205,-10.492774415172,-3.76933051239041,-3.6253308861166,-3.20088570772555,0.00103460937773714,0.876702649811604,0.118960725659372,1.6198019959026e-05,0.0886520887144486,0.00752782128377832,0.0794743650655812,41.8807081323605,0,28.9639851447346,0,29.2505147156501,0,28.5366584794437,0.00158489319246111
2,4,0.4,-6.79126360119324,-2.26106556955539,-1.40456981753598,-11.3120867368975,-2.32011878825214,-3.43778672386599,-1.041302911635,1.26698569492188e-37,0.0881045707690947,10.7697875412743,1.62313468449433e-05,0.0886599748834704,0.0555207856898677,0.126737194438375,28.1837343324775,1,28.9639828657332,0,29.2526649694983,0,28.5366584794437,0.00158489319246111
3,4,0.4,-6.8237301473607,-1.4989550933811,-3.012350770793,-9.52963076174206,-2.56898442233132,-3.73427408221397,-1.39350914819461,7.46196816374367e-35,0.0876173582681973,9.93041725732747,1.61955652420529e-05,0.0886370298997372,0.00332799131017814,0.0752883952826681,28.194897255691,1,28.9639843840149,0,29.2504831209978,0,28.5366584794437,0.00158489319246111
