"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0.8,-6.50383241506942,-1.42960796467464,-0.0037759006165228,-3.38112587827479,-2.42019883827634,3.09609466978471,-3.06204357281262,0.00188071514457873,0.0480438738326381,4.24863064646478,1222.15115814737,0.0480440385833926,948327.887477964,0.0480381330436301,2485.31414297677,0,2485.3164036328,0,2485.31408541564,0,201.215722521518,0.000398107170553497
2,1,0.8,-6.46685973635213,-2.01553513082241,-2.36875385974644,-3.97791483406994,-2.6638646824497,3.16070771748002,-4.37837053979852,0.000476452062390941,0.0493661279087887,0.77613257127383,10709.3681952739,0.0480408170278535,126293.89353472,0.048038413919839,200.149382020517,0,2485.3146719669,0,2485.31774307087,0,201.215722521518,0.000398107170553497
3,1,0.8,-8.51564105115388,-3.73927868527515,-2.83604021360335,-4.16300203778519,-3.21784740883414,2.0499121773728,-3.24625432237856,0.000476324730458455,0.0493794184232287,0.776184240672601,5761.00166395053,0.0480592890097479,112710.621417765,0.0480322335159643,200.149346632464,0,2485.3148172346,0,2485.31799363869,0,201.215722521518,0.000398107170553497
4,1,0.8,-7.57840973786682,-3.45697759440659,-2.26960059613121,-4.54452401987349,-2.63154581453041,1.141102952418,-3.27676641959501,0.00047585606576822,0.0493825460750424,0.776303555950142,681.750363579688,0.0480390875020168,124913.066790919,0.0480363728204739,200.14940568785,0,2485.31737548922,0,2485.31763819294,0,201.215722521518,0.000398107170553497
5,1,0.8,-8.71660130514993,-3.63087566361849,-3.02925390729059,-4.45475645979545,-3.81240150774923,1.34885604159556,-3.16514566552827,0.000493823216994532,0.0494833689343766,0.771232911843024,1299.39703321533,0.0480392405073014,1140222.26657227,0.0480455207413837,200.157835659354,0,2485.31644660261,0,2485.31417557382,0,201.215722521518,0.000398107170553497
1,2,0.8,-6.67481646163713,-4.47319185734902,-2.30378629500802,-4.19599927631041,-3.89310509307451,3.00777040754626,-3.47867530457425,0.000563367442922825,0.0497465586510744,0.751348373644974,6039.69657099787,0.0481125600904812,6152234707.87979,0.0481159052800657,195.83734678108,0,2466.65916415433,0,2466.65837911964,0,197.110326940153,0.000398107170553497
2,2,0.8,-8.16615208028285,-2.05326825924178,-4.97619382718344,-3.54933219045585,-2.75775822900109,1.60049182737941,-1.6680902628806,0.000563514028741743,0.0497547755502596,0.751297679223694,6183.38819880444,0.0481118727172662,315684.072608821,0.0481248413445613,195.837326744886,0,2466.65921997705,0,2466.6627834228,0,197.110326940153,0.000398107170553497
3,2,0.8,-8.04470930645292,-2.61522636646199,-0.124699142552609,-4.72416050778965,-1.99933829376676,2.22099082892084,-2.17722881775852,0.000563968787438488,0.0497529511047875,0.751195101389289,5352220.327752,0.0481134068405264,1068857.00999047,0.0481103304406725,195.837311791414,0,2466.65883256738,0,2466.65900401097,0,197.110326940153,0.000398107170553497
4,2,0.8,-8.5417169859119,-3.03029267671048,-2.17856666118122,-3.72626421488138,-2.78640717137165,2.66825035826065,-4.3660736859678,0.000563901776391741,0.0497585028116978,0.751192474411058,5109.56246644841,0.0481177348020488,784454.151705271,0.0481117766652211,195.837373607076,0,2466.6591659382,0,2466.65890922828,0,197.110326940153,0.000398107170553497
5,2,0.8,-6.79389395886093,-2.83182373386276,-0.767789568264957,-4.13000227605478,-3.93483873592896,1.22195341013666,-4.75948711443673,0.000563266735153629,0.0497426796152415,0.751355240466997,5878.29845528978,0.0481142548702855,115045.850037621,0.0481202262371438,195.837347521979,0,2466.65924962366,0,2466.66325235562,0,197.110326940153,0.000398107170553497
1,3,0.8,-5.68474064133427,-2.50971631150682,-3.19800250710639,-4.05288663138527,-0.682625038858416,2.96732731427,-2.2659499090912,7.90321355413045e-06,0.0433146620016311,1.3340320832009,11323.0525734347,0.0492180193137231,1017105.06646284,0.0492303228889232,210.551995048779,0,2444.34101703112,0,2444.34036587582,0,190.488414987385,0.000398107170553497
2,3,0.8,-8.39775697006129,-3.9997236422485,-2.00885173218646,-4.06809034543114,-1.70170781677756,1.37755990770675,-3.32823676211058,0.000140676025291136,0.0487493501814373,0.941569426112075,1167.44053900758,0.0492261297875421,127918.23190196,0.0492205400132572,185.163817487941,0,2444.34260263657,0,2444.34436921219,0,190.488414987385,0.000398107170553497
3,3,0.8,-8.05387984188929,-2.24747859364509,-2.20860826150457,-2.92787346242716,-4.90789521190504,2.78710881087874,-3.8386462990103,0.000147899324927603,0.0488594077623905,0.934764846155974,249.589487414222,0.0492415533141375,10701724.8693203,0.0492364227616715,185.153201888789,0,2444.34951320066,0,2444.34007043993,0,190.488414987385,0.000398107170553497
4,3,0.8,-8.40038791007576,-4.15510925412129,-1.69368478301745,-6.21187367230399,-2.4771361276669,2.10246517256667,-3.44249805065292,0.000148032620417648,0.0488658933633464,0.934645358294662,0.00379717119447299,0.050177042261189,1034618.49786221,0.0492171900450585,185.153176852469,0,2663.51214913339,0,2444.34049334263,0,190.488414987385,0.000398107170553497
5,3,0.8,-9.60594441784497,-4.15090651871319,-1.17800262050761,-3.32026274122188,-4.35222621572868,1.50370588794883,-2.40706681024895,0.000148348493106896,0.0488717675016441,0.934358743491961,5192.49970503478,0.0492265786660765,1187871.23238441,0.0492253276922677,185.153185004622,0,2444.34086778615,0,2444.34027254051,0,190.488414987385,0.000398107170553497
1,4,0.8,-7.43790785860013,-2.23452517727087,-2.37755923337114,-6.01483466437705,-3.44292751820552,2.90298305163872,-3.34466404196922,0.000389836400234115,0.0491690480605367,0.80306066324724,722.355963214885,0.0481191165824746,1039137.94565094,0.0481115867292118,207.094832900955,0,2429.20772326165,0,2429.20469856476,0,207.398338311717,0.000398107170553497
2,4,0.8,-6.91095015549704,-0.91254118651342,-0.575940779040373,-5.01797924668432,-1.18079361274111,1.82501102121628,-4.41903783330395,0.00104644956676717,0.0481166086465951,5.5816548305825,6310.62557712663,0.048115432069024,1150254.33222585,0.0481136291160326,2429.20465978426,0,2429.20491934166,0,2429.20450971087,0,207.398338311717,0.000398107170553497
3,4,0.8,-7.07882779260173,-2.58705295728285,-2.90887793649353,-4.25701505018014,-2.12365086957631,3.0336060851006,-4.54267411303688,0.000389857478635278,0.0491835445776856,0.803047270833575,6426.63667850886,0.0481180203110125,1147541.44922343,0.0481213148562643,207.094713852457,0,2429.20505074296,0,2429.20447597478,0,207.398338311717,0.000398107170553497
4,4,0.8,-7.05578657716251,-3.19804723373043,-0.943865455698834,-5.53078407837931,-5.22747955566581,0.773615083721458,-3.02644397750069,0.00038939826756137,0.0491827044821012,0.803202143847146,9.27579490221447e-05,0.0461006988299062,112487.478932323,0.0481206107631519,207.094758400765,0,216.222158912931,0,2429.20845331581,0,207.398338311717,0.000398107170553497
5,4,0.8,-8.2113244167866,-2.13377493268648,-2.20561516658544,-4.8876144353816,-3.7214764971632,1.57066497137064,-2.6029679882547,0.000390164346974648,0.0491835520167528,0.802939433943625,31.2652413928214,0.0481100883760718,1144272.04430082,0.0481238375150659,207.094711490319,0,2429.27177571001,0,2429.20452485255,0,207.398338311717,0.000398107170553497
1,5,0.8,-7.24405334769473,-2.9765282411719,-3.20388936540039,-4.17018988000367,-1.99579066598236,3.37743263231815,-3.12662789022286,0.000383034538763562,0.0483986733416992,0.801845539279028,57138.1446915965,0.0479857017208929,6223312.94984611,0.0479814180602728,206.158556318349,0,2520.54145269993,0,2520.54089829376,0,207.402892490082,0.000398107170553497
2,5,0.8,-6.64876166858977,-4.45631940935576,-2.46767384916065,-5.34691638658019,-2.52323462193186,1.54303249259162,-2.1586439901312,0.000382719485267841,0.0483966229405246,0.801972308874744,5965.92322329327,0.0479790797958253,938229447.61629,0.0479807141833058,206.158556327096,0,2520.54166047688,0,2520.54090720248,0,207.402892490082,0.000398107170553497
3,5,0.8,-8.22604609966483,-3.44030672081092,-2.88652580173152,-3.86328098499618,-1.41650342315318,1.78107867834026,-0.174915355724877,0.000382953542244847,0.0483942577517664,0.801888193465295,54332.227944107,0.0479848700588106,123034.819840541,0.047977571237911,206.158571242785,0,2520.54146363559,0,2520.54535078463,0,207.402892490082,0.000398107170553497
4,5,0.8,-6.10849485500056,-1.59821698022546,-2.92907871113632,-4.87533825741992,-3.78586177138455,3.03899145850031,-2.28153610568815,0.000385887698270724,0.0484191056473484,0.800843633333608,5641.76611071066,0.0479936376979632,5700621.65199585,0.0479784706482558,206.158907925834,0,2520.54182334597,0,2520.5409133864,0,207.402892490082,0.000398107170553497
5,5,0.8,-7.13805366229266,-2.59760343824372,-1.76508031493153,-3.58903822373785,-2.97052954755456,1.75324864920861,-3.39326597516943,0.000383294044276349,0.0483970182766034,0.801760339755231,1253.71386478708,0.0479863063702207,955017.91936966,0.0479817817361067,206.158565497172,0,2520.54351321122,0,2520.54127126971,0,207.402892490082,0.000398107170553497
1,6,0.8,-6.69912302202658,-3.03560612957515,-2.19172637038492,-4.32264163272149,-2.97753372420315,2.58701005342185,-3.39737239668389,0.000455338830513997,0.049382476805773,0.778372463840961,2711.26883977467,0.0483940906652089,126230.548315476,0.0483835497396816,186.373568576727,0,2473.03893869847,0,2473.04127996955,0,187.431402970752,0.000398107170553497
2,6,0.8,-8.45003237021862,-1.97422823597864,-2.6820929717555,-3.93902950842287,-4.18338627742526,1.4703461783814,-2.25663060728289,0.000455210718466453,0.0493793160069855,0.778391634216872,11396.9043382598,0.0483798003833034,126225.537965449,0.0483756570883874,186.373593221554,0,2473.03770939113,0,2473.04116226821,0,187.431402970752,0.000398107170553497
3,6,0.8,-8.87166978561429,-1.56570035003984,-3.29134608970281,-2.93458734029769,-5.65201299153255,0.954820267903432,-2.79545061739503,0.000454981808477016,0.04937810587825,0.778489722711595,978.56447795669,0.0484015617829077,114528.347916336,0.0483880349317942,186.373598109236,0,2473.04022995314,0,2473.0409150219,0,187.431402970752,0.000398107170553497
4,6,0.8,-6.93398198694509,-2.04635259704674,-2.49476210532948,-4.47776389428457,-3.63839960270532,3.11878435778,-0.376406525752439,0.000455005671324477,0.0493756128720612,0.778474263120924,10967.0482783174,0.0483870055156948,1192707.80136387,0.0483834131552956,186.373584750119,0,2473.03772358911,0,2473.03723604355,0,187.431402970752,0.000398107170553497
5,6,0.8,-7.53502526820761,-1.76565906788089,-2.34131355227458,-4.10915179177345,-4.10162684202401,1.81413512391419,-4.33678762638013,0.000455466517536333,0.0493852519960454,0.778325474880766,5050.2618562677,0.0483901426550178,1044542.46849047,0.0483828593000972,186.373580508253,0,2473.03775383855,0,2473.03697954385,0,187.431402970752,0.000398107170553497
1,7,0.8,-6.99225116952417,-4.00428252424932,-1.79654445251277,-5.08963163737552,-4.21134946377705,0.730412706083124,-2.09323752693876,0.000553296749363064,0.052284363071503,0.755823963441842,58517.5457284678,0.0499765040371084,129419.939525296,0.0499844314299997,193.98922178136,0,2368.06158539177,0,2368.065323611,0,195.273907667998,0.000398107170553497
2,7,0.8,-8.64330548369073,-3.92387668576677,-1.49146673218326,-4.68561720485799,-4.6032362341482,1.31641844420104,-1.30893807452905,0.000551367072915181,0.0522754449175944,0.756290809184457,5783.38564667896,0.0499660094245494,1162840.56100421,0.0499780047027022,193.989203262201,0,2368.06153825762,0,2368.06141811142,0,195.273907667998,0.000398107170553497
3,7,0.8,-8.91380922469093,-2.99889284242567,-2.44300024923111,-4.74515760986884,-1.33542818401531,1.33555634063772,-3.2735785408232,0.000552588337617755,0.0522767129928657,0.755997197648626,698.141608690415,0.0499639915084808,136362.030236177,0.0499867756015295,193.989221065209,0,2368.06449329429,0,2368.06531913001,0,195.273907667998,0.000398107170553497
4,7,0.8,-7.45084612761957,-2.10858034753678,-5.24087800463445,-4.95907260109464,-3.03779810945611,-0.157418841332892,-3.36392953555384,0.000554651655264532,0.0522760141596991,0.75550885222077,11343.5948366167,0.0499636988330989,0.148862490493397,0.0840892496081884,193.989631506489,0,2368.0619222,0,681.896123187919,0,195.273907667998,0.000398107170553497
5,7,0.8,-7.77349851334045,-3.09762563386382,-2.80729031769125,-4.9136155013387,-1.24376520018186,2.78614277673224,-2.32829854052909,0.000552560736379145,0.0522899070474487,0.756016441132526,6215.31297320382,0.0499644503860195,1261080.28327671,0.0499741006559221,193.989192154286,0,2368.0618528952,0,2368.06144497111,0,195.273907667998,0.000398107170553497
1,8,0.8,-9.10216435881215,-3.03077426940009,-2.9999114889197,-5.57276140709626,-3.81489156788839,1.14346832565524,-4.4743190973033,0.000328700522525849,0.0516821601814452,0.830642389088547,0.00375355325319408,0.0508168712473367,999736.486838265,0.0498237798556845,192.066161764028,0,2603.57690981611,0,2392.50713665715,0,194.353532853252,0.000398107170553497
2,8,0.8,-6.83165792397626,-3.97162268598665,-3.56662391148941,-6.01375893909849,-2.2325272335311,2.03201769838672,-3.70020222312787,0.000434396045320996,2.00803114467872e-08,0.547884009840375,0.00375323587588139,0.0508126166309936,134597.42605848,0.0498371834411428,884.901744693376,0,2603.57690748636,0,2392.51103245415,0,194.353532853252,0.000398107170553497
3,8,0.8,-8.35229415073774,-1.6841230741393,-2.3770756019318,-4.60649084602786,-5.07097977346942,1.28473211945355,-1.82459175569792,0.000328590024187438,0.0516798353436541,0.830683162663609,1287.18507845626,0.0498289742657705,113812.567564823,0.0498382706928739,192.066169445542,0,2392.50942614455,0,2392.51052568294,0,194.353532853252,0.000398107170553497
4,8,0.8,-9.23474911839695,-4.67187896806393,-3.2641639791338,-3.12882996820236,-3.55370545360914,1.88522641953577,-4.9326361112916,0.000432902238800954,3.14871835974701e-05,0.548560923148104,9052.84917272609,0.0498369937663104,135163.335194946,0.0498321396280541,884.769562114549,0,2392.50826423103,0,2392.51035657315,0,194.353532853252,0.000398107170553497
5,8,0.8,-8.7262159407037,-1.81915655908713,-2.33572274431535,-4.81114752143529,-2.14085552901127,0.688134610263717,-2.18193083480031,0.000329453718026478,0.051690363790986,0.830340819089052,716.062706717708,0.0498268774308538,1112078.86112899,0.0498314748331774,192.066164781205,0,2392.51018022545,0,2392.50731214478,0,194.353532853252,0.000398107170553497
1,9,0.8,-7.17768351376254,-1.95160005246569,-2.95973502978962,-5.88494132155372,-1.08746821275494,2.68600598502937,-3.15496711311432,0.000195877759187496,0.0479355814336114,0.897974839996005,0.00368158629787294,0.0491867642642844,962347.19954104,0.0482414563753714,195.633373849484,0,2634.43314422625,0,2426.81633702991,0,198.202108301854,0.000398107170553497
2,9,0.8,-6.04846729263062,-4.07646488920879,-2.23505673933395,-5.22684216442754,-3.92487363908691,3.82456068111978,-3.3848286423555,0.000195967810838542,0.0479008908551122,0.89786747236765,62969.8027998993,0.0482349938484654,114274.786093158,0.0482589758821462,195.633783369304,0,2426.81658636977,0,2426.82022482975,0,198.202108301854,0.000398107170553497
3,9,0.8,-6.91663250749343,-2.34845719520643,-3.54031471978942,-6.04246871492496,-2.31178179223945,1.95030698737986,-2.55863868723825,0.000289894907536737,1.6382029461628e-05,0.607641749468782,0.00368305674656132,0.0491720537714309,1102063.21569473,0.0482411569323755,961.024891558569,0,2634.43247659099,0,2426.81632572488,0,198.202108301854,0.000398107170553497
4,9,0.8,-6.91152620926997,-3.61314610938189,-1.46571576864183,-3.97087752052429,-3.336226088252,1.49977188004231,-2.9000523678742,0.000195314760979775,0.0479259670186056,0.898358240370733,10978.3273024977,0.0482346103205205,126482.204267078,0.0482412441995378,195.633352038262,0,2426.81701423275,0,2426.82021148857,0,198.202108301854,0.000398107170553497
