"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0.8,-6.2836529331787,-3.37361919510346,-2.35767784338012,-8.38060577863358,-2.92744411992023,-0.327452787728111,-3.25298032402665,0.264474425207746,0.0595794195427886,0.00112580403107104,0.000360078032611543,0.0455040325428238,0.267259389135939,0.0594855982916864,1113.335845409,0,279.84919375872,0,1114.88758208638,0,236.103984705531,0.00125594321575479
2,1,0.8,-5.82358450416581,-3.97406301477339,-1.90181043006567,-7.33081739528497,-1.78470064817099,-2.76420404670442,-1.95753527037501,0.265362410880437,0.0595566506884697,0.000736030975254431,0.000360052848536808,0.045497002293103,0.267226781465026,0.0594973619602136,1113.87350912847,0,279.849223589026,0,1114.88762792555,0,236.103984705531,0.00125594321575479
3,1,0.8,-7.89850654856316,-2.93196842030453,-1.41134000956182,-9.00574539710775,-2.86766417465654,-3.23424580811063,-2.03617070908002,0.00121852824341703,0.0503800931375638,0.806233609273005,0.000360068434822218,0.0454994546840994,0.267230865763402,0.0594938622425205,235.753692644825,0,279.849199075917,0,1114.88760473133,0,236.103984705531,0.00125594321575479
4,1,0.8,-5.8302404817282,-3.11160545787981,-2.32824343303024,-8.08747324142229,-2.40257714831362,-3.70298984738229,-2.36473862079013,0.0012172730299867,0.0503872771024493,0.806414775856834,0.000360105850167276,0.0455033199524124,0.267284194330556,0.0594772707298394,235.753695419997,0,279.849190410868,0,1114.88759545673,0,236.103984705531,0.00125594321575479
5,1,0.8,-8.38492047879152,-4.01327016044293,-2.73964668874859,-9.05774306829562,-3.18395249720599,-3.16960766343589,-3.13209390291322,0.00121788373626917,0.0503871255362917,0.80633617748889,0.000360067151455546,0.0455012289586938,0.267168597340573,0.0594925131074287,235.753671452858,0,279.849196186947,0,1114.88764430586,0,236.103984705531,0.00125594321575479
1,2,0.8,-7.88743948220258,-1.81228094112234,-2.11954699994048,-7.97010071852002,-3.75453251950719,-3.57631745113632,-1.27221159466278,0.00142957247451644,0.0510687992684726,0.780220629830543,0.000354656574449954,0.0455935626749987,0.275766068080244,0.0597371149870022,238.261136136575,0,287.269083946544,0,1029.14251999497,0,238.846300768741,0.00125594321575479
2,2,0.8,-6.38472778993484,-3.10254050071426,-3.76340625806585,-8.74236020946894,-2.60111616397003,-3.2515861922091,-3.15001075181018,0.00142990088455235,0.0510662664688882,0.780169950131352,0.000354677114761226,0.0455949587229467,0.275805276225017,0.0597169233292727,238.261143999373,0,287.269089879225,0,1029.14242234013,0,238.846300768741,0.00125594321575479
3,2,0.8,-7.00549167117144,-2.47411121725154,-3.6496048401737,-6.14750446856215,-3.35732302994538,-1.83755956002062,-3.74807642152902,0.275038853267907,0.0597516855735709,0.000307342438483731,0.000354668899623643,0.045593949181417,0.275832070303069,0.0597158209055906,1028.75028201068,0,287.269088277219,0,1029.14242909789,0,238.846300768741,0.00125594321575479
4,2,0.8,-7.60434924733114,-3.03180481035166,-3.1009641991827,-7.74273802059141,-2.52887642172658,-4.08482100862764,-2.38938395007036,0.275181684998148,0.0597237505110556,0.000271202326079548,0.000354642640242391,0.0455908941510031,0.275852244473672,0.0596984525381814,1028.79629899619,0,287.269100949623,0,1029.1425348033,0,238.846300768741,0.00125594321575479
5,2,0.8,-7.88970580263795,-3.75714874943378,-2.89977272870469,-8.6844891700774,-4.21357907037401,-3.29073199195009,-2.86119238223472,0.272601321398887,0.0597872581516079,0.00144874936737466,0.000354665617513217,0.0455999161431535,0.275759284362402,0.0597174308456363,1027.29137541958,0,287.269084020833,0,1029.14245835699,0,238.846300768741,0.00125594321575479
