"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0.9,-7.62616810641824,-0.797080365588605,-3.95035456607027,-6.39790192499461,-1.74829823767342,-2.81771371203309,-3.76333343613048,0.000835673139134619,0.0971964108108431,0.888490759463486,0.000391971766549253,0.0928127827618875,0.396644534761946,0.132163735631302,131.164109465988,0,137.296512593638,0,593.797502166044,0,132.516438698385,0.000792446596230557
2,1,0.9,-5.97626558196124,-0.406231192618899,-0.802395695713198,-5.99556187788545,-1.56551712628369,-1.71565761328862,-2.80553267560701,0.000834845150749056,0.0971695949269414,0.888623568620397,0.000391960313380822,0.0928204965203067,0.396668443630398,0.132173709501407,131.164114156064,0,137.296511616585,0,593.797520768214,0,132.516438698385,0.000792446596230557
3,1,0.9,-6.30751827423321,-3.09744608519259,-3.67464307184386,-7.96601189833273,-2.13771959593201,-3.19822461530613,-3.52989172946696,0.000835412537201518,0.0972003735666419,0.888513865094932,0.000391944277564839,0.0928114327703252,0.396480356360393,0.13218713280644,131.164108602059,0,137.29650591404,0,593.797521861419,0,132.516438698385,0.000792446596230557
4,1,0.9,-7.51202382771937,-1.56176558994962,-2.30884304618896,-7.80969698752554,-2.36856678701879,-2.32556398809799,-1.08827082754126,0.000835169147067582,0.0971819181951863,0.888583041163065,0.000391940573441973,0.0928072248390821,0.396621255992897,0.132154944414446,131.164118178337,0,137.296508778905,0,593.79749589866,0,132.516438698385,0.000792446596230557
5,1,0.9,-8.04323511074695,-2.24022466527251,-3.55691671972417,-8.30620470995171,-2.21185663932407,-2.32492927146976,-1.66193910178755,0.000610073088084902,7.67366808444659e-05,0.381466242401814,0.000391936684193688,0.0928119150824094,0.39653445760219,0.13214876863276,1470.08969173487,0,137.29650595902,0,593.797693961887,0,132.516438698385,0.000792446596230557
1,2,0.9,-6.39734918987642,-2.96048966749266,-3.37236568251148,-6.78567648795106,-1.82108830434216,-3.39966774635026,-4.90983381274492,0.000784742018677861,0.1034387848349,0.905839133735933,0.000415080652359405,0.0995711707318916,0.402755208619922,0.143808738227285,115.284060499117,0,119.445899417114,0,556.971187855208,0,116.889544247207,0.000792446596230557
2,2,0.9,-7.19334292871426,-1.61193078248379,-3.27918726876362,-8.97772902469301,-2.92006651204893,-2.27095775536259,-2.55781720351211,0.000783888534713807,0.103407735697167,0.906018381370654,0.000415094231750911,0.0995647817894871,0.402909606562494,0.143793700599462,115.284087270848,0,119.445899932172,0,556.971458371339,0,116.889544247207,0.000792446596230557
3,2,0.9,-7.05111797492585,-2.70069839522382,-2.9521638692635,-9.16970763821641,-0.282032775208917,-2.01495731273498,-2.14876830171485,0.000782999974164925,0.103427342415965,0.906134142556695,0.000415145356972242,0.0995626986490341,0.402657687303193,0.143835752423485,115.284144266582,0,119.44592410747,0,556.971157181037,0,116.889544247207,0.000792446596230557
4,2,0.9,-7.66891749295224,-4.57277744374475,-1.3162179766256,-9.34886045125046,-2.39855147121771,-2.6432654906032,-0.124555770579354,0.000784274824704926,0.103424133206917,0.905931641003257,0.000415123349254677,0.0995707038357406,0.0711286200653174,0.882889020761119,115.284047599185,0,119.445903883397,0,3798.96628929616,0,116.889544247207,0.000792446596230557
5,2,0.9,-7.12876933708846,-3.34371046222639,-1.36854565367065,-6.64723047487722,-2.76755831937941,-2.62117052670115,-3.12275387755127,0.000784694367566794,0.103433255412439,0.905849972977229,0.000415109008638555,0.099569091256781,0.402683902107466,0.143817088876883,115.284055851562,0,119.445899652472,0,556.971153578492,0,116.889544247207,0.000792446596230557
