"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0.6,-5.3389525892235,-3.26943149340187,-3.34463144459973,-3.79300342595407,-4.61137433396116,2.05562846854763,-4.46107312762043,0.017122742343252,0.0204197028832107,0.582488894490543,490.478584233056,0.0186099612698353,2422613.61268823,0.018609331989731,314.064512770246,0,861.694774587607,0,861.691943681614,0,315.607982786019,0.0158489319246111
2,1,0.6,-4.44451146906274,-3.63979308337412,-2.69025661956299,-4.78557221570313,-3.8162929393649,2.06116217102079,-4.32824913143304,0.0172517615460395,0.0204277137341619,0.581288065464524,0.00198125285711156,0.0199649604338308,48209.2277323701,0.0186093502612301,314.067776295442,0,400.092065700675,0,861.694644203791,0,315.607982786019,0.0158489319246111
3,1,0.6,-3.11581350855484,-6.27485878717765,-2.51950255083575,-3.65326086788057,-6.31790621555301,2.88220755308862,-3.25029353129601,0.0171298958481441,0.0204226353288967,0.582366941942917,2213.81772109881,0.0186096317896397,48746.1932606332,0.0186109622327867,314.064348011094,0,861.692665720438,0,861.694662528202,0,315.607982786019,0.0158489319246111
4,1,0.6,-4.56520087467325,-3.94372103500035,-4.31180415011478,-5.02349543477601,-3.574991865595,0.902884545305324,-3.99169144126744,0.0171474562652213,0.0204218830788124,0.582193249781063,0.00198118299585371,0.0199662431670902,48249.7621998192,0.0186089305382547,314.064407203804,0,400.092065225778,0,861.694645227705,0,315.607982786019,0.0158489319246111
5,1,0.6,-4.63969121979324,-1.87294644578229,-3.11586490636783,-4.78357220724449,-3.40772243307348,2.02524229670407,-3.87859727504725,0.0171025017999356,0.0204224173565473,0.582703280948884,0.00198141264621351,0.0199646397709284,466578.814026939,0.0186089449334717,314.064576250965,0,400.092073077049,0,861.692216871453,0,315.607982786019,0.0158489319246111
6,1,0.6,-5.36022022646448,-2.79647250592098,-2.20672780798093,-4.24813114718353,-2.53455443441342,3.73962735497834,-4.11028796956454,0.0171484504912435,0.0204240742789574,0.582137661054693,4522.09223213497,0.0186104852248945,48723.1745747142,0.018609786362715,314.064400132886,0,861.692734312654,0,861.694643885589,0,315.607982786019,0.0158489319246111
7,1,0.6,-4.07058812515908,-5.16814001232227,-2.24998183894264,-4.25435113846091,-3.85028053892746,0.930614127655275,-3.79502162599819,0.0379698452609537,0.018611281888325,3.06228026096169,4153.77586560809,0.0186097479036756,48508.674942428,0.0186089404091862,861.693745397562,0,861.69272082895,0,861.694645419088,0,315.607982786019,0.0158489319246111
1,2,0.6,-2.67319622387875,-2.14818596963743,-1.88561440406419,-5.75548890223342,-3.99298889649657,1.56489559997548,-4.0616599942648,0.0160066898834421,0.0194257240685697,0.59718483513646,0.00203696213449877,0.0190002322048753,445617.69175885,0.0178018818968948,345.89729454655,0,427.864321773857,0,920.758651088169,0,348.391379215334,0.0158489319246111
2,2,0.6,-4.16399260230528,-3.43431423039109,-1.73140271097679,-4.17597297692661,-4.95731651391774,3.11224672295016,-2.71454436250114,0.0160177626695746,0.0194287617539327,0.597037288081314,2053828.3518415,0.0178030198629695,46689.2765259087,0.0178018855754175,345.897377276763,0,920.758529954706,0,920.761301685347,0,348.391379215334,0.0158489319246111
3,2,0.6,-5.20770172462246,-5.46342597697272,-0.752067918384556,-2.54733107344037,-2.37692242198652,3.2125499482818,-3.79905165706653,0.0159807957595101,0.0194251141298736,0.597495317027295,215.594600748179,0.0178063223265317,412878.280439467,0.0178005755820736,345.89730432889,0,920.763423744566,0,920.758704093159,0,348.391379215334,0.0158489319246111
4,2,0.6,-5.77633251004803,-5.30494876573999,-1.15585046826068,-4.76752964759809,-2.39410849574906,2.4616944642341,-4.17423160757257,0.0159827216203972,0.0194254794816895,0.59747787958618,0.0020375348601884,0.0189958264324719,412710.437477821,0.017802587319737,345.897290341004,0,427.864542948586,0,920.75866564397,0,348.391379215334,0.0158489319246111
5,2,0.6,-3.42669125431385,-3.98363468789469,-3.81377845531171,-3.11137391420746,-5.63936865600983,2.25902128205529,-3.99502505118174,0.0160011835639517,0.019430534362053,0.597239883000757,2209.88038815017,0.0178036906913037,46454.5186606954,0.0178027323371145,345.897367391788,0,920.759060366637,0,920.761288651115,0,348.391379215334,0.0158489319246111
