"fittingattempt","dataset","K","initbetaNL","initgammaNL","initKNL","initbetaDD","initgammaDD","initbetaFD","initgammaFD","betaNL","gammaNL","KNL","betaDD","gammaDD","betaFD","gammaFD","lik","conv","likDD","convDD","likFD","convFD","NLLtrue","truebeta"
1,1,0.1,-3.23810879779293,-2.38332173926794,-2.96774670040929,-6.8286990842451,-1.30175371837148,-0.65952369896695,-3.28629225826467,0.0555589687937421,0.0519001679746233,0.0887251670339648,1.59781966878454e-05,3.9156825795799e-10,0.101530812050755,0.0543781073040112,268.041069130193,0,875.958791264741,0,301.997042530041,0,269.347642370555,0.0501187233627272
2,1,0.1,-2.49909756421199,-4.58685946912391,-1.36205920868436,-5.64731509116051,-1.52810509451451,-0.27058817865327,-1.8615509546916,0.0555811773306116,0.0519040832102857,0.0886637589427522,1.5978957566067e-05,1.13927605302955e-09,0.101514809858938,0.0543744951317646,268.041077703217,0,875.958799957909,0,301.997035062282,0,269.347642370555,0.0501187233627272
3,1,0.1,-2.19111589128276,-3.09431438461367,-2.90168975696431,-6.80431188921128,-2.73674351191152,-0.811966315377504,-3.43915755393954,0.0555551957303865,0.0519056844991344,0.0887388187601047,1.59813786191906e-05,5.7341033600958e-10,0.101531370512262,0.0543820828700291,268.041056617513,0,875.958794618941,0,301.997017118787,0,269.347642370555,0.0501187233627272
4,1,0.1,-2.5414136319349,-3.5169065505819,-2.93739705553761,-6.28439292993412,-1.22751641504298,-1.46044719824567,-4.94473643643095,0.0555848577469446,0.05190926588436,0.08865713232437,1.59824106885437e-05,7.47400861040806e-08,0.101522735831696,0.0543756749872876,268.041086663078,0,875.960770472129,0,301.997030220579,0,269.347642370555,0.0501187233627272
5,1,0.1,-2.10689896717822,-1.675086483014,-2.03025269769147,-7.22945980344419,-4.18692324558717,-1.85981708811596,-3.83949651990984,0.0555785379230882,0.0518990247927316,0.0886575787338282,1.59784644987123e-05,4.72897161037937e-10,0.101538067941552,0.0543865774517553,268.04109079891,0,875.958788771725,0,301.997021404473,0,269.347642370555,0.0501187233627272
6,1,0.1,-3.27664354429587,-2.8937239360329,-2.20496778346548,-6.44848456270986,-4.80176410671742,-1.11093129077926,-3.13806535502531,0.0555615461647505,0.0519027047656666,0.0887125126262901,1.59818934457861e-05,5.1626371731936e-11,0.101525257442622,0.0543813941179524,268.04105634995,0,875.958791668649,0,301.997014818944,0,269.347642370555,0.0501187233627272
7,1,0.1,-3.74871189557958,-2.96091241146478,-2.92421880877147,-7.19247024226558,-2.38378727648575,-0.676272063981742,-2.86227048236613,0.0555576336024658,0.0518925665427082,0.0887038099078121,1.59827229995543e-05,3.52178235506838e-09,0.101540555356865,0.0543961968958643,268.041090072934,0,875.958906775718,0,301.997065321675,0,269.347642370555,0.0501187233627272
8,1,0.1,-3.99801062835026,-4.62746327113731,-2.55995061044105,-6.43582393275825,-3.87595940540969,-0.761655859649181,-4.50759807733213,0.0555500548724667,0.0519027746607302,0.0887481636332461,1.59788212731966e-05,2.82486435690902e-10,0.101505209593202,0.0543647547528687,268.041054978535,0,875.958778870391,0,301.997094892552,0,269.347642370555,0.0501187233627272
9,1,0.1,-2.75139369679,-1.0730983000711,-2.80934882878868,-7.26810137658558,-2.99663850834452,-0.227416298817843,-2.18341801576131,0.0556195409290239,0.0519296733565103,0.0885674623878254,1.59798485793495e-05,2.98235188718098e-12,0.101536899461524,0.0543956734708319,268.041515513888,0,875.9587656684,0,301.997078367403,0,269.347642370555,0.0501187233627272
10,1,0.1,-4.92551688175034,-2.86943435398062,-1.33084066336872,-7.65787837601284,-1.88274049839218,-0.238713711500168,-3.37319928624236,0.0555806513096803,0.0519062556337246,0.0886761252930921,1.59801183355835e-05,3.9219832794507e-08,0.101515188891129,0.0543741170277737,268.041082802595,0,875.959798626173,0,301.99703490982,0,269.347642370555,0.0501187233627272
11,1,0.1,-1.4115665929257,-2.84940454559625,-3.7594184222895,-5.38511092823647,-3.51654657252382,-1.2280636979267,-2.41218548138515,0.0555740494203421,0.0519068876801003,0.0886814662959963,1.59801069971069e-05,2.94697909843324e-10,0.101523694652813,0.0543834055141794,268.041072615451,0,875.958773801478,0,301.997026041243,0,269.347642370555,0.0501187233627272
12,1,0.1,-5.14273156425967,-2.53239850752808,-2.59620687298707,-5.75269253177029,-2.20452386745212,-1.39782539336011,-2.57352813893686,0.0555195766542395,0.0518950191690629,0.088810868209472,1.59823025787984e-05,1.75140459698025e-10,0.101524501375943,0.0543827550309495,268.04109425611,0,875.95880567331,0,301.997019796275,0,269.347642370555,0.0501187233627272
13,1,0.1,-2.85783623203689,-2.68676242380254,-2.03103429636661,-6.86680500624163,-2.26640951487492,-0.748363849241287,-2.76930712177783,0.0555522230995326,0.0519025906840849,0.0887399680175278,1.59820969094479e-05,2.2559502137233e-09,0.101517523073647,0.0543780232366176,268.0410539977,0,875.958854771218,0,301.997029048639,0,269.347642370555,0.0501187233627272
14,1,0.1,-2.00242651689727,-1.44656177397872,-3.4164802899567,-5.27829490231951,-4.48780700124639,-1.13636630168185,-2.13698407094523,0.0555341160491706,0.051887733180909,0.0887607303855985,1.59799055621443e-05,1.37245213398661e-09,0.101557471737862,0.0544041666615155,268.041106633598,0,875.958801758502,0,301.997116217149,0,269.347642370555,0.0501187233627272
1,2,0.1,-4.48228487405269,-1.84802216737922,-2.97365918775346,-7.58070814477255,-3.79310469522233,-0.925717024598271,-2.66885067137259,0.0509096283978352,0.0483817104335155,0.092374874751102,1.63287655709507e-05,4.67231915683804e-11,0.0951239427376308,0.050809163161029,268.253541421064,0,849.849002731711,0,308.579051179838,0,269.797669150337,0.0501187233627272
2,2,0.1,-2.00290190215585,-1.7926455999096,-1.62204559215183,-7.03521017580621,-4.76725945210164,-0.618222862482071,-2.40926982376405,0.0509113001678835,0.0483644181942632,0.0923387570270962,1.63296536615783e-05,3.92838693967401e-09,0.0951323917044278,0.0508135014654539,268.253652822816,0,849.849095863926,0,308.579063208743,0,269.797669150337,0.0501187233627272
3,2,0.1,-2.34757205009818,-3.17662948825831,-2.63107833668168,-6.87852235409623,-2.6478247471975,-0.555527470540255,-3.59513604987012,0.0508997026678276,0.0483817235120577,0.0923950848237998,1.63330011009119e-05,4.71189619385305e-09,0.0951152297155852,0.0508072892279266,268.25353915937,0,849.84916330174,0,308.579044089228,0,269.797669150337,0.0501187233627272
4,2,0.1,-3.85388512087514,-3.19030200108689,-1.76253966484592,-8.17332329833995,-2.67232899039094,-0.905754705891013,-3.84725430233286,0.0509017286548233,0.0483809189323328,0.0923893105884803,1.63310653681583e-05,8.28869692694596e-10,0.0951276649380723,0.050818675279412,268.25353496004,0,849.849016818721,0,308.57905682104,0,269.797669150337,0.0501187233627272
5,2,0.1,-3.05003581036409,-1.87363572135852,-3.0775855168529,-5.08759930291717,-4.4526296481015,-1.47090036375448,-1.80431212350426,0.0509064109341686,0.0483954967990907,0.092397285067682,4858.42941757155,0.0378550411809218,0.0951202208836014,0.0508127608976716,268.253635445058,0,2936.5144774815,0,308.579044691933,0,269.797669150337,0.0501187233627272
6,2,0.1,-3.04907856409693,-2.38807667060025,-1.69999228744249,-7.94097598179206,-4.67126272453879,-1.87164327781647,-4.53333371018387,0.0509013901048647,0.0483782111818184,0.0923871341204084,1.63289360794241e-05,2.44046328882003e-11,0.0951369483214149,0.050823746434649,268.253533111627,0,849.848999471603,0,308.579070916073,0,269.797669150337,0.0501187233627272
7,2,0.1,-4.97286731393037,-2.9695583672017,-1.80562450962852,-8.07459160383652,-2.48257081430194,-1.79191165463999,-2.82894636952349,0.0508915244124689,0.0483703882621749,0.0924020617224115,1.63306143532984e-05,5.57778704650581e-10,0.0951155342897709,0.0508047253164353,268.253550205033,0,849.849005946514,0,308.579053377372,0,269.797669150337,0.0501187233627272
8,2,0.1,-4.11259398755326,-1.79507176081909,-1.08877203995365,-4.84550627088961,-2.89241760799917,-0.735590681899339,-2.82462434021607,0.0508969410606559,0.0483767381571781,0.092404961227637,0.00787985197148444,0.0386128802748902,0.095124668540861,0.0508160860192316,268.253542807622,0,3116.91492303277,0,308.579048679061,0,269.797669150337,0.0501187233627272
9,2,0.1,-2.15255629827841,-1.29625970959729,-3.81900641876948,-5.82605851018499,-3.17261329434717,-1.36127767246217,-5.39732369743927,0.0509154315949154,0.0483808310064099,0.0923728814951631,1.63286446437157e-05,1.67551191752189e-10,0.0951303868958464,0.0508207373543324,268.253629637233,0,849.849008047212,0,308.579064254784,0,269.797669150337,0.0501187233627272
10,2,0.1,-1.11449707100933,-3.14779874129109,-4.36486902141748,-6.81029938817754,-3.27806540891474,-0.219804042950273,-2.66044629878339,0.0509018641823505,0.0483863012893053,0.092408775719543,1.63305110682585e-05,1.6798672335301e-11,0.0951173842242115,0.0508045306695397,268.253552367971,0,849.848991068553,0,308.57906085959,0,269.797669150337,0.0501187233627272
